time,property,state
1130,10.464798,8
1131,10.823973,8
1132,11.165805,8
1133,11.928989,8
1134,12.261158,8
1135,11.212135,8
1136,11.570515,8
1137,11.928989,8
1138,10.948973,8
1139,8.905908,7
1140,7.172949,7
1141,4.452954,5
1142,1.9386592,1
1143,1.8,1
1144,1.8,1
1145,2.7416782,2
1146,3.319036,3
1147,2.1897945,1
1148,2.5455842,2
1149,5.0528407,6
1150,5.95906,6
1151,6.151683,6
1152,6.830519,7
1153,8.905908,7
1154,9.6932955,7
1155,11.183201,8
1156,11.159999,8
1157,11.879999,8
1158,12.620554,8
1159,12.261158,8
1160,11.252519,8
1161,11.013882,8
1162,11.090103,8
1163,11.177405,8
1164,11.043261,8
1165,10.703569,8
1166,11.384199,8
1167,10.931203,8
1168,11.013882,8
1169,11.720751,8
1170,11.720751,8
1171,10.661107,8
1172,10.446206,8
1173,11.159999,8
1174,11.901798,8
1175,10.739833,8
1176,11.304229,8
1177,13.556282,8
1178,14.205182,8
1179,12.661564,8
1180,13.138765,8
1181,13.979871,8
1182,14.685176,8
1183,15.192682,8
1184,15.716793,8
1185,16.179985,8
1186,15.509274,8
1187,16.055353,8
1188,16.055353,8
1189,15.042659,8
1190,14.84318,8
1191,12.768586,8
1192,11.269782,8
1193,10.30883,8
1194,10.028439,8
1195,10.24578,8
1196,10.931203,8
1197,11.726277,8
1198,12.0694,8
1199,12.181625,8
1200,11.631956,8
1201,10.966713,8
1202,9.983106,8
1203,8.225035,7
1204,6.6087217,6
1205,6.379216,6
1206,5.04,6
1207,4.896529,5
1208,6.763786,7
1209,7.9932976,7
1210,9.3876505,7
1211,10.239453,8
1212,9.885262,7
1213,8.28,7
1214,8.350138,7
1215,9.422101,7
1216,8.759178,7
1217,8.759178,7
1218,8.473393,7
1219,8.707238,7
1220,8.759178,7
1221,10.390226,8
1222,11.384199,8
1223,12.10157,8
1224,11.874544,8
1225,11.570515,8
1226,11.165805,8
1227,11.525623,8
1228,13.004921,8
1229,11.885453,8
1230,10.594036,8
1231,10.086427,8
1232,10.495713,8
1233,11.252519,8
1234,12.599999,8
1235,14.4,8
1236,15.328561,8
1237,14.685176,8
1238,14.618837,8
1239,14.84318,8
1240,16.946787,8
1241,16.520823,8
1242,16.167967,8
1243,15.542662,8
1244,15.328561,8
1245,14.264361,8
1246,13.979871,8
1247,13.556282,8
1248,13.493999,8
1249,12.849528,8
1250,12.849528,8
1251,12.429127,8
1252,11.966954,8
1253,13.009903,8
1254,12.413476,8
1255,12.224107,8
1256,13.009903,8
1257,13.1041975,8
1258,12.864649,8
1259,13.1041975,8
1260,13.358861,8
1261,12.661564,8
1262,13.708391,8
1263,13.5515,8
1264,12.979984,8
1265,13.661038,8
1266,12.979984,8
1267,12.303366,8
1268,11.298495,8
1269,11.165805,8
1270,11.043261,8
1271,10.365251,8
1272,10.137692,8
1273,10.137692,8
1274,9.793058,7
1275,9.565437,7
1276,6.379216,6
1277,5.506941,6
1278,5.937272,6
1279,6.638072,6
1280,6.9899354,7
1281,7.771331,7
1282,8.311245,7
1283,9.227524,7
1284,9.028754,7
1285,8.891344,7
1286,8.854829,7
1287,9.178235,7
1288,9.227524,7
1289,8.089993,7
1290,8.557102,7
1291,9.904906,7
1292,9.107359,7
1293,8.557102,7
